identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
16975A,MORSANG SUR ORGE,Bureau de Poste,,31 AVENUE PAUL VAILLANT COUTURIER,,,91390,MORSANG SUR ORGE,91434,FRANCE,48.653093,2.35153,3631
16976A,NOZAY BP,Bureau de Poste,,PLACE DE LA MAIRIE,,,91620,NOZAY,91458,FRANCE,48.66020127,2.2428803175,3631
16977A,ORSAY BP,Bureau de Poste,,1 PLACE DU DOCTEUR ERNEST ALBERT,,,91400,ORSAY,91471,FRANCE,48.700281009799,2.187144690555,3631
16977D,UNIVERS COM LES AUBIERS LPR RP,Relais poste,06099A,43 COURS DES AUBIERS,UNIVERS COM,,33300,BORDEAUX,33063,FRANCE,44.873,-0.5727,3631
16978A,PALAISEAU,Bureau de Poste,,8 RUE CARNOT,,,91120,PALAISEAU,91477,FRANCE,48.712295,2.24574,3631
16978D,VALREAS LIBERATION RP,Relais poste,15937A,ROND POINT DE LA LIBERATION,,,84600,VALREAS,84138,FRANCE,44.3875,5.0066,3631
16979A,PARAY VIEILLE POSTE BP,Bureau de Poste,,12 PLACE HENRI BARBUSSE,,,91550,PARAY VIEILLE POSTE,91479,FRANCE,48.713298,2.363147,3631
16979D,ALBESTROFF AP,Agence postale communale,10394A,3 RUE DU CHATEAU,,,57670,ALBESTROFF,57011,FRANCE,48.9328,6.8573,3631
16980A,LE PLESSIS PATE AP,Agence postale communale,16927A,CCAL LES ARCADES DU CLOS,,,91220,LE PLESSIS PATE,91494,FRANCE,48.611394,2.3248,3631
16980D,SELLIERES AP,Agence postale intercommunale,07485A,7 RUE JEAN MOULIN,,,39230,SELLIERES,39508,FRANCE,46.8274,5.5652,3631
16982A,QUINCY SOUS SENART BP,Bureau de Poste,,28 RUE DE BOISSY SAINT LEGER,,,91480,QUINCY SOUS SENART,91514,FRANCE,48.674294,2.535145,3631
16983A,RIS ORANGIS,Bureau de Poste,,PLACE DU MOULIN A VENT,,,91130,RIS ORANGIS,91521,FRANCE,48.647995,2.407229,3631
16983D,AXAT LPAC AP,Agence postale communale,01626A,ROUTE DEPARTEMENTALE 117,MAIRIE AXAT,,11140,AXAT,11021,FRANCE,42.8039,2.2316,3631
16984A,SACLAS BP,Bureau de Poste,,4 RUE JOLIOT CURIE,,,91690,SACLAS,91533,FRANCE,48.360097,2.124839,3631
16985A,SAINT CHERON BP,Bureau de Poste,,PARC DES TOURELLES,,,91530,ST CHERON,91540,FRANCE,48.554653,2.124862,3631
16985D,VIVIERS RP,Relais poste,04587A,ROUTE DEPARTEMENTALE 86,QUARTIER PLANZOLLES,,07220,VIVIERS,07346,FRANCE,44.4823,4.6892,3631
16986A,STE GENEVIEVE DES BOIS PRINCIPAL,Bureau de Poste,,143 ROUTE DE CORBEIL,,,91700,STE GENEVIEVE DES BOIS,91549,FRANCE,48.637993,2.332918,3631
16987A,ST GERMAIN LES ARPAJON BP,Bureau de Poste,,2 RUE DE CHANTELOUP,,,91180,ST GERMAIN LES ARPAJON,91552,FRANCE,48.595797,2.255186,3631
16987D,LA CHAPELLE SAINT URSIN RP,Relais poste,03142A,24 RUE DES VIGNES,,,18570,LA CHAPELLE ST URSIN,18050,FRANCE,47.0628,2.3263,3631
16988A,SAINT GERMAIN LES CORBEIL BP,Bureau de Poste,,1 RUE DE LA TUILERIE,,,91250,ST GERMAIN LES CORBEIL,91553,FRANCE,48.619897,2.489937,3631
16989A,ST MICHEL SUR ORGE PRINCIPAL BP,Bureau de Poste,,4 PLACE PUTTLINGEN,CENTRE COMMERCIAL GRAND BOIS,,91240,ST MICHEL SUR ORGE,91570,FRANCE,48.636,2.3195,3631
16990A,ST PIERRE DU PERRAY BP,Bureau de Poste,,40 AVENUE COLETTE,,,91280,ST PIERRE DU PERRAY,91573,FRANCE,48.615095,2.504456,3631
16992D,SAINT CIRGUES EN MONTAGNE AP,Agence postale communale,00999A,PLACE DU BREUIL,MAISON MALOSSE,,07510,ST CIRGUES EN MONTAGNE,07224,FRANCE,44.7557,4.0928,3631
16994A,SAULX LES CHARTREUX BP,Bureau de Poste,,3 RUE DE LA DIVISION LECLERC,,,91160,SAULX LES CHARTREUX,91587,FRANCE,48.693193,2.270797,3631
16995A,SAVIGNY SUR ORGE BP,Bureau de Poste,,46 AVENUE CHARLES DE GAULLE,,,91600,SAVIGNY SUR ORGE,91589,FRANCE,48.679099,2.345877,3631
16995D,BALLON SAINT MARS AP,Agence postale communale,13621A,7 PLACE DE LA REPUBLIQUE,ESPACE FRANCOIS MITTERRAND,BALLON,72290,BALLON ST MARS,72023,FRANCE,48.1757,0.2351,3631
16996A,SOISY SUR ECOLE AP,Agence postale communale,16969A,PLACE DE LA MAIRIE,,,91840,SOISY SUR ECOLE,91599,FRANCE,48.474684553,2.4971980602,3631
16996D,LA MEZIERE L EXCUSE RP,Relais poste,06604A,9 PLACE DE L EGLISE,,,35520,LA MEZIERE,35177,FRANCE,48.2193,-1.7556,3631
16997A,SOISY SUR SEINE BP,Bureau de Poste,,17 RUE DE L OISEAU,,,91450,SOISY SUR SEINE,91600,FRANCE,48.6493,2.450778,3631
16998A,VERRIERES LE BUISSON,Bureau de Poste,,22 RUE DE PARON,,,91370,VERRIERES LE BUISSON,91645,FRANCE,48.745999,2.268827,3631
16999D,DINARD STE ALEXANDRE 2 AP,Agence postale communale,06480A,RUE SAINT ALEXANDRE,CENTRE COMMERCIAL,,35800,DINARD,35093,FRANCE,48.627924,-2.067329,3631
17001A,VIDELLES AP,Agence postale communale,16969A,1 RUE DE LA CROIX BOISSEE,,,91890,VIDELLES,91654,FRANCE,48.464109228,2.4339449497,3631
17002A,VIGNEUX SUR SEINE BP,Bureau de Poste,,10 PLACE DU 8 MAI 1945,,,91270,VIGNEUX SUR SEINE,91657,FRANCE,48.703042,2.427708,3631
17003A,VILLABE AP,Agence postale communale,16938A,13 AVENUE DU 8 MAI 1945,,,91100,VILLABE,91659,FRANCE,48.588494,2.45414,3631
17004A,VILLEBON SUR YVETTE BP,Bureau de Poste,,10 PLACE GERARD NEVERS,,,91140,VILLEBON SUR YVETTE,91661,FRANCE,48.699893,2.227009,3631
17004D,ST JUST LE MARTEL LPA AP,Agence postale communale,16459A,PLACE WOLINSKI,,,87590,ST JUST LE MARTEL,87156,FRANCE,45.861,1.385,3631
17005A,LA VILLE DU BOIS BP,Bureau de Poste,,7 RUE DU GRAND NOYER,,,91620,LA VILLE DU BOIS,91665,FRANCE,48.660796,2.268626,3631
17006A,VILLEMOISSON SUR ORGE BP,Bureau de Poste,,PLACE DU POIRIER DE LA FARINETTE,,,91360,VILLEMOISSON SUR ORGE,91667,FRANCE,48.661675957,2.3303455387,3631
17006D,USSAC LPR RP,Relais poste,03160A,ROUTE DE BRIVE,L AUTRE MONDE  ZC LES COMBETTES,,19270,USSAC,19274,FRANCE,45.1862,1.5086,3631
17007A,VIRY CHATILLON HOTEL DE VILLE,Bureau de Poste,,12 RUE HENRI BARBUSSE,,,91170,VIRY CHATILLON,91687,FRANCE,48.672594,2.375554,3631
17007D,LE VANLEEN RP,Relais poste,01409A,13 PLACE DE L EGLISE,,,10210,VANLAY,10395,FRANCE,48.02743,4.01765,3631
17008A,WISSOUS BP,Bureau de Poste,,11 ROUTE D ANTONY,,,91320,WISSOUS,91689,FRANCE,48.734396,2.324228,3631
17008D,FAVIERES LPAC AP,Agence postale communale,09889A,18 RUE DE L ABBE LENFANT,,,54115,FAVIERES,54189,FRANCE,48.4631,5.9551,3631
17009A,YERRES,Bureau de Poste,,40 RUE CHARLES DE GAULLE,,,91330,YERRES,91691,FRANCE,48.716293,2.490317,3631
17009D,PEYNIER RP,Relais poste,02056A,23 AVENUE DE LA LIBERATION,TABAC DE PEYNIER,,13790,PEYNIER,13072,FRANCE,43.4485,5.6401,3631
17010A,LES ULIS BP,Bureau de Poste,,ESPLANADE DE LA REPUBLIQUE,,,91940,LES ULIS,91692,FRANCE,48.682198,2.169002,3631
17010D,LONGAGES LPAC AP,Agence postale communale,05548A,3 RUE DE LA PRADE,,,31410,LONGAGES,31303,FRANCE,43.3551,1.2398,3631
17012A,EVRY VILLAGE BP,Bureau de Poste,,PLACE DU GENERAL DE GAULLE,,,91000,EVRY,91228,FRANCE,48.636092,2.446802,3631
17013A,EVRY PARC AUX LIEVRES BP,Bureau de Poste,,7 PLACE DU PARC AUX LIEVRES,,,91000,EVRY,91228,FRANCE,48.627396,2.448316,3631
17013D,MAUVES SUR LOIRE RP,Relais poste,08172A,2 BIS RUE DU PRIEURE,,,44470,MAUVES SUR LOIRE,44094,FRANCE,47.2942,-1.3922,3631
17014D,GUENROUET AP,Agence postale communale,08263A,1 RUE ANDRE CAUX,,,44530,GUENROUET,44068,FRANCE,47.5197,-1.955,3631
17015A,LPR SOISY SUR SEINE RP,Relais poste,16943A,RUE DE LA FORET DE SENART,Relais Couture Soisyv,,91450,SOISY SUR SEINE,91600,FRANCE,48.651495,2.458312,3631
17017A,EVRY LES AUNETTES BP,Bureau de Poste,,38 PLACE DES AUNETTES,,,91000,EVRY,91228,FRANCE,48.618665,2.433092,3631
17017D,LYON 08 RETRAIT COLIS BP,Bureau de Poste,,163 RUE PROFESSEUR BEAUVISAGE,,,69008,LYON,69388,FRANCE,45.7276,4.8629,3631
17018A,PALAISEAU ECOLE POLYTECHNIQUE AP,Agence postale communale,16978A,ROUTE DE SACLAY,ECOLE POLYTECHNIQUE,,91120,PALAISEAU,91477,FRANCE,48.7138,2.2087,3631
17024A,ORSAY MONDETOUR AP,Agence postale communale,16978A,BOULEVARD DE MONDETOUR,PLACE PIERRE LUCAS,,91400,ORSAY,91471,FRANCE,48.683098,2.18332,3631
17024D,OUDON AP,Agence postale communale,08151A,150 RUE D ANJOU,,,44521,OUDON,44115,FRANCE,47.3472,-1.2844,3631
17025A,EVRY COURCOURONNES CANAL BP,Bureau de Poste,,8 AVENUE DE L ORME A MARTIN,,,91080,COURCOURONNES,91182,FRANCE,48.630399,2.413837,3631
17026A,ATHIS MONS APC DU VAL AP,Agence postale communale,16910A,105 AVENUE DU 18 AVRIL,,,91200,ATHIS MONS,91027,FRANCE,48.702297,2.38692,3631
17027A,CORBEIL ESSONNES PLACE LEON CASSE BP,Bureau de Poste,,24 PLACE LEON CASSE,,,91100,CORBEIL ESSONNES,91174,FRANCE,48.603961,2.46973,3631
17028D,BAYONNE LECLERC RP,Relais poste,12151A,90 AVENUE HENRI DE NAVARRE,LECLERC,,64100,BAYONNE,64102,FRANCE,43.5038,-1.445,3631
17031D,TOUGET EPICERIE LPR RP,Relais poste,05674A,PLACE DE LA HALLE,EPICERIE,,32430,TOUGET,32448,FRANCE,43.6903,0.9148,3631
17032A,ETAMPES A AP,Agence postale communale,16946A,75 RUE SAINT MARTIN,,,91150,ETAMPES,91223,FRANCE,48.426895,2.139441,3631
17032D,BURLATS LPR RP,Relais poste,15429A,QUAI ADELAIDE,LES PANIERS DE JULIE,,81100,BURLATS,81042,FRANCE,43.6365,2.318,3631
