identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
00001A,AMBERIEU EN BUGEY,Bureau de Poste,,38 RUE ALEXANDRE BERARD,,,01500,AMBERIEU EN BUGEY,01004,FRANCE,45.9598,5.3582,3631
00002A,AMBERIEU EN DOMBES BP,Bureau de Poste,,240 RUE GOMBETTE,,,01330,AMBERIEUX EN DOMBES,01005,FRANCE,45.99639,4.903345,3631
00004A,ANGLEFORT RP,Relais poste,00017A,RUE DE LA MAIRIE,THE LIXIR,,01350,ANGLEFORT,01010,FRANCE,45.9116,5.8083,3631
00008A,ARS SUR FORMANS BP,Bureau de Poste,,RUE JEAN MARIE VIANNEY,,,01480,ARS SUR FORMANS,01021,FRANCE,45.992899,4.821718,3631
00011A,BAGE LE CHATEL BP,Bureau de Poste,,RUE CONDAMNALE,,,01380,BAGE LE CHATEL,01026,FRANCE,46.307694,4.929602,3631
00012A,BEAUPONT RP,Relais poste,00030A,356 RUE PRINCIPALE,,,01270,BEAUPONT,01029,FRANCE,46.410523,5.264468,3631
00013A,BEAUREGARD AP,Agence postale communale,00174A,99 RUE HECTOR BERLIOZ,MAIRIE,,01480,BEAUREGARD,01030,FRANCE,46.002974656,4.7512038479,3631
00015A,BELIGNEUX CAMP DE LA VALBONNE BP,Bureau de Poste,,23 RUE DE LA POSTE,CAMP MILITAIRE LA VALBONNE,,01360,BELIGNEUX,01032,FRANCE,45.848872,5.125244,3631
00016A,BELLEGARDE SUR VALSERINE PAL,Bureau de Poste,,52 B RUE DE LA REPUBLIQUE,,,01200,BELLEGARDE SUR VALSERINE,01033,FRANCE,46.107098,5.824684,3631
00017A,BELLEY,Bureau de Poste,,1 BOULEVARD DU MAIL,,,01300,BELLEY,01034,FRANCE,45.761179,5.687556,3631
00018A,BEREYZIAT RP,Relais poste,00046A,LE BOURG,,,01340,BEREZIAT,01040,FRANCE,46.366486,5.045942,3631
00021A,BILLIAT RP,Relais poste,00016A,9 RUE DE LA MAIRIE,,,01200,BILLIAT,01044,FRANCE,46.077173,5.784174,3631
00022A,BIZIAT AP,Agence postale communale,00046A,40 ROUTE DE RETISSINGE,,,01290,BIZIAT,01046,FRANCE,46.216879,4.943519,3631
00023A,LA BOISSE AP,Agence postale communale,00103A,31 PLACE MARCEL VIENOT,,,01120,LA BOISSE,01049,FRANCE,45.841808,5.032843,3631
00024A,BOLOZON AP,Agence postale communale,00030A,175 RUE DE LA GARE,,,01450,BOLOZON,01051,FRANCE,46.19212,5.473216,3631
00025A,BOURG EN BRESSE PREFECTURE,Bureau de Poste,,1 AVENUE ALPHONSE MUSCAT,,,01000,BOURG EN BRESSE,01053,FRANCE,46.202794,5.220568,3631
00026A,BREGNIER CORDON BP,Bureau de Poste,,LA BRUYERE,,,01300,BREGNIER CORDON,01058,FRANCE,45.641265,5.627338,3631
00027A,BRENOD RP,Relais poste,00017A,RUE PRINCIPALE,TABAC GUDIN MIREILLE,,01110,BRENOD,01060,FRANCE,46.061818,5.606876,3631
00029A,CERDON RP,Relais poste,00030A,98 PLACE DE LA VIGNERONNE,LE PANIER SYMPA,,01450,CERDON,01068,FRANCE,46.07968,5.463674,3631
00030A,CEYZERIAT,Bureau de Poste,,RUE JEROME LALANDE,,,01250,CEYZERIAT,01072,FRANCE,46.179193,5.325461,3631
00031A,CEYZERIEU AP,Agence postale communale,00017A,1 PLACE DE LA MAIRIE,,,01350,CEYZERIEU,01073,FRANCE,45.835258,5.726434,3631
00032A,CHALAMONT BP,Bureau de Poste,,PLACE DU MARCHE,,,01320,CHALAMONT,01074,FRANCE,45.997007,5.171485,3631
00035A,CHALLEX RP,Relais poste,00073A,45 RUE DE LA TREILLE,,,01630,CHALLEX,01078,FRANCE,46.180381,5.9688,3631
00036A,CHAMPAGNE EN VALROMEY AP,Agence postale communale,00017A,PLACE BRILLAT SAVARIN,,,01260,CHAMPAGNE EN VALROMEY,01079,FRANCE,45.904699,5.679104,3631
00037A,CHAMPDOR AP,Agence postale communale,00017A,LE VILLAGE,,,01110,CHAMPDOR,01080,FRANCE,46.016655,5.596165,3631
00038A,CHAMPFROMIER AP,Agence postale communale,00016A,9 RUE DU CHAMP DU PONT,LE PONT D ENFER,,01410,CHAMPFROMIER,01081,FRANCE,46.194562,5.816555,3631
00039A,CHANAY AP,Agence postale communale,00017A,7 PLACE DES TILLEULS,,,01420,CHANAY,01082,FRANCE,46.005580001472,5.7853300034766,3631
00040A,CHANEINS AP,Agence postale communale,00046A,LE BOURG,,,01990,CHANEINS,01083,FRANCE,46.097397,4.850998,3631
00044A,CHATILLON EN MICHAILLE AP,Agence postale communale,00016A,35 RUE DE LA POSTE,,CHATILLON EN MICHAILLE,01200,VALSERHONE,01033,FRANCE,46.143198970829,5.7986198474023,3631
00045A,CHATILLON LA PALUD AP,Agence postale communale,00099A,248 ROUTE DE GEVRIEUX,,,01320,CHATILLON LA PALUD,01092,FRANCE,45.972564,5.254418,3631
00046A,CHATILLON SUR CHALARONNE,Bureau de Poste,,270 AVENUE RAYMOND SARBACH,,,01400,CHATILLON SUR CHALARONNE,01093,FRANCE,46.118997,4.960829,3631
00047A,CHAVANNES SUR SURAN RP,Relais poste,00030A,32 RUE DE FRANCHE COMTE,LES FLORALIES TABAC PRESSE FLEURS,CHAVANNES SUR SURAN,01250,NIVIGNE ET SURAN,01095,FRANCE,46.263158293962,5.4257111707741,3631
00048A,CHAVEYRIAT AP,Agence postale communale,00046A,55 RUE DE LA MAIRIE,,,01660,CHAVEYRIAT,01096,FRANCE,46.198098,5.061319,3631
00049A,BOURG EN BRESSE FONTAINE BERNARD BP,Bureau de Poste,,14 RUE BERNARD,,,01000,BOURG EN BRESSE,01053,FRANCE,46.205896,5.228136,3631
00050A,CHAZEY BONS RP,Relais poste,00017A,ROUTE DEPARTEMENTALE 504,,BONS,01300,CHAZEY BONS,01098,FRANCE,45.803816,5.682173,3631
00051A,BOURG AMEDEE MERCIER AP,Agence postale communale,00025A,57 AVENUE AMEDEE MERCIER,,,01000,BOURG EN BRESSE,01053,FRANCE,46.2035,5.2434,3631
00052A,CHEVRY AP,Agence postale communale,00073A,254 RUE SAINT MAURICE,,,01170,CHEVRY,01103,FRANCE,46.280826,6.039618,3631
00053A,CHEZERY FORENS AP,Agence postale communale,00016A,27 PLACE DE LA MAIRIE,,,01410,CHEZERY FORENS,01104,FRANCE,46.222367,5.867583,3631
00054A,CIVRIEUX RP,Relais poste,00174A,LE VILLAGE,LA BASCULE,,01390,CIVRIEUX,01105,FRANCE,45.921562,4.882163,3631
00056A,COLLONGES BP,Bureau de Poste,,134 RUE DU FORT,,,01550,COLLONGES,01109,FRANCE,46.137038,5.903005,3631
00057A,CONDEISSIAT AP,Agence postale communale,00046A,LE VILLAGE,,,01400,CONDEISSIAT,01113,FRANCE,46.156985,5.079904,3631
00058A,CONFORT L AIN CONFORTABLE RP,Relais poste,00016A,108 PLACE SOEUR ROSALIE RENDU,,,01200,CONFORT,01114,FRANCE,46.1501,5.8227,3631
00059A,CORBONOD RP,Relais poste,00017A,370 GRANDE RUE,MAGASIN VIVAL,,01420,CORBONOD,01118,FRANCE,45.968551,5.809858,3631
00060A,CORMARANCHE EN BUGEY AP,Agence postale communale,00017A,1 PLACE DE LA MAIRIE,MAIRIE,CORMARANCHE EN BUGEY,01110,PLATEAU D HAUTEVILLE,01185,FRANCE,45.951729,5.612403,3631
00061A,CORMORANCHE SUR SAONE RP,Relais poste,00046A,15 RUE DU JET D EAU,,,01290,CORMORANCHE SUR SAONE,01123,FRANCE,46.240947,4.83136,3631
00062A,CORVEISSIAT AP,Agence postale communale,00030A,201 GRANDE RUE,BATIMENT MAIRIE,,01250,CORVEISSIAT,01125,FRANCE,46.244083,5.482266,3631
00063A,CRAS SUR REYSSOUZE RP,Relais poste,00046A,23 PLACE DU MARCHE,,CRAS SUR REYSSOUZE,01340,BRESSE VALLONS,01130,FRANCE,46.309,5.1653,3631
00064A,CULOZ BP,Bureau de Poste,,5 RUE DE LA ROSERAIE,,,01350,CULOZ,01138,FRANCE,45.847694,5.784184,3631
00065A,DAGNEUX AP,Agence postale communale,00103A,PLACE DES TILLEULS,,,01120,DAGNEUX,01142,FRANCE,45.851505,5.075998,3631
00066A,DIVONNE LES BAINS BP,Bureau de Poste,,PLACE DE L EGLISE,,,01220,DIVONNE LES BAINS,01143,FRANCE,46.35689,6.142471,3631
00067A,DOMPIERRE SUR VEYLE RP,Relais poste,00025A,13 PLACE DE LA MAIRIE,PRoxi,,01240,DOMPIERRE SUR VEYLE,01145,FRANCE,46.07176,5.205239,3631
00069A,ECHALLON RP,Relais poste,00116A,50 PLACE CHARLES BLETEL,,,01130,ECHALLON,01152,FRANCE,46.2158,5.7335,3631
00070A,FAREINS RP,Relais poste,00174A,259 ROUTE DE FLECHERES,TABAC PRESSE LARRAS,,01480,FAREINS,01157,FRANCE,46.018493,4.761198,3631
00071A,FARGES RP,Relais poste,00016A,731 RUE DE LA REPUBLIQUE,CAFE DE LA POSTE,,01550,FARGES,01158,FRANCE,46.168369,5.905648,3631
00072A,FEILLENS BP,Bureau de Poste,,815 GRANDE RUE,,,01570,FEILLENS,01159,FRANCE,46.335753,4.889533,3631
00073A,FERNEY VOLTAIRE,Bureau de Poste,,1 AVENUE VOLTAIRE,,,01210,FERNEY VOLTAIRE,01160,FRANCE,46.25658,6.108921,3631
00074A,FOISSIAT RP,Relais poste,00046A,LE BOURG,VIVAL,,01340,FOISSIAT,01163,FRANCE,46.369977548,5.1750954504,3631
00075A,GEX BP,Bureau de Poste,,2 RUE DES ACACIAS,,,01170,GEX,01173,FRANCE,46.333341,6.059589,3631
00076A,GRILLY AP,Agence postale communale,00073A,34 CHEMIN JACQUES BELAY,,,01220,GRILLY,01180,FRANCE,46.33174,6.114522,3631
00077A,GUEREINS RP,Relais poste,00046A,134 RUE DU CENTRE,AUBERGE DE LA CALONNE,,01090,GUEREINS,01183,FRANCE,46.106489311,4.7798301379,3631
00078A,HAUTEVILLE LOMPNES BP,Bureau de Poste,,350 RUE DE LA REPUBLIQUE,,,01110,HAUTEVILLE LOMPNES,01185,FRANCE,45.976987,5.60185,3631
00079A,HOTONNES LPR RP,Relais poste,00017A,8 RUE DE LA CROIX,,HOTONNES,01260,HAUT VALROMEY,01187,FRANCE,45.997310021017,5.6928824092635,3631
00080A,INJOUX GENISSIAT AP,Agence postale communale,00016A,4 C RUE DES ECOLES,,,01200,INJOUX GENISSIAT,01189,FRANCE,46.050999,5.802806,3631
00081A,IZERNORE BP,Bureau de Poste,,551 GRANDE RUE,,,01580,IZERNORE,01192,FRANCE,46.219927,5.554568,3631
00082A,JASSANS RIOTTIER BP,Bureau de Poste,,208 PLACE DE LIMELETTE,,,01480,JASSANS RIOTTIER,01194,FRANCE,45.983992,4.757399,3631
00085A,LAGNIEU BP,Bureau de Poste,,11 BIS ROUTE DU PORT,,,01150,LAGNIEU,01202,FRANCE,45.900305,5.347754,3631
00087A,LELEX BP,Bureau de Poste,,ROUTE DE MIJOUX,,,01410,LELEX,01210,FRANCE,46.30268,5.940351,3631
00088A,LENT AP,Agence postale communale,00025A,8 PLACE DE LA MAIRIE,,,01240,LENT,01211,FRANCE,46.119292,5.196807,3631
00089A,LEYMENT AP,Agence postale communale,00001A,64 RUE DE LA GUILLOTIERE,MAIRIE,,01150,LEYMENT,01213,FRANCE,45.9229,5.295251,3631
00090A,LHUIS BP,Bureau de Poste,,LE BOURG,,,01680,LHUIS,01216,FRANCE,45.745545,5.535525,3631
00091A,LOYETTES AP,Agence postale communale,00099A,184 RUE DES VERCHERES,,,01360,LOYETTES,01224,FRANCE,45.775637,5.207817,3631
00092A,MAILLAT AP,Agence postale communale,00116A,110 ROUTE DE PEYRIAT,,,01430,MAILLAT,01228,FRANCE,46.127457,5.539176,3631
00093A,MANZIAT RP,Relais poste,00046A,1222 GRAND ROUTE,MME CHAMBARD,,01570,MANZIAT,01231,FRANCE,46.358851,4.907076,3631
00094A,MARBOZ RP,Relais poste,00030A,64 GRANDE RUE,TABAC MULTISERVICES,,01851,MARBOZ,01232,FRANCE,46.3424,5.2571,3631
00095A,MARLIEUX AP,Agence postale communale,00025A,1 PLACE DE LA MAIRIE,,,01240,MARLIEUX,01235,FRANCE,46.064674,5.069533,3631
00096A,MARTIGNAT AP,Agence postale communale,00116A,195 GRANDE RUE,,,01100,MARTIGNAT,01237,FRANCE,46.209042,5.610398,3631
00097A,MEILLONNAS AP,Agence postale communale,00030A,PLACE DE LA MAIRIE,,,01370,MEILLONNAS,01241,FRANCE,46.245498,5.351169,3631
00098A,MESSIMY SUR SAONE RP,Relais poste,00046A,243 RUE DU BOURG,,,01480,MESSIMY SUR SAONE,01243,FRANCE,46.048297,4.764496,3631
00099A,MEXIMIEUX,Bureau de Poste,,7 PLACE LIEUTENANT GIRAUD,,,01800,MEXIMIEUX,01244,FRANCE,45.904725,5.192328,3631
00100A,MEZERIAT BP,Bureau de Poste,,41 PLACE DU MARCHE,,,01660,MEZERIAT,01246,FRANCE,46.23387,5.046825,3631
00101A,MIJOUX AP,Agence postale communale,00016A,RUE DAME PERNETTE,,,01410,MIJOUX,01247,FRANCE,46.366512,5.996792,3631
00102A,MIONNAY RP,Relais poste,00174A,114 RUE PRINCIPALE,,,01390,MIONNAY,01248,FRANCE,45.895474,4.929569,3631
00103A,MIRIBEL,Bureau de Poste,,SQUARE LUCIEN AGNEL,,,01700,MIRIBEL,01249,FRANCE,45.823887,4.950582,3631
00104A,MISERIEUX RP,Relais poste,00174A,186 GRANDE RUE,STE GENIVAL VIVAL SUPERETTE,,01600,MISERIEUX,01250,FRANCE,45.975492,4.810187,3631
00105A,MONTAGNAT AP,Agence postale communale,00025A,135 CHEMIN DE L EGLISE,,,01250,MONTAGNAT,01254,FRANCE,46.171263,5.285941,3631
00106A,MONTLUEL BP,Bureau de Poste,,226 AVENUE DE LA GARE,,,01120,MONTLUEL,01262,FRANCE,45.849798,5.057299,3631
00107A,MONTMERLE SUR SAONE BP,Bureau de Poste,,6 PLACE DE L EGLISE,,,01090,MONTMERLE SUR SAONE,01263,FRANCE,46.080702,4.7586,3631
00108A,MONTREAL LA CLUSE BP,Bureau de Poste,,18 AVENUE DE BRESSE,,,01460,MONTREAL LA CLUSE,01265,FRANCE,46.17157,5.574244,3631
00109A,MONTREVEL EN BRESSE BP,Bureau de Poste,,9 PLACE DU 3 SEPTEMBRE,,,01340,MONTREVEL EN BRESSE,01266,FRANCE,46.337705,5.128773,3631
00110A,NURIEUX VOLOGNAT AP,Agence postale communale,00116A,2 CHEMIN DE LA FONTAINE,,,01460,NURIEUX VOLOGNAT,01267,FRANCE,46.1865,5.5268,3631
00111A,NANTUA BP,Bureau de Poste,,26 RUE DE L HOTEL DE VILLE,,,01130,NANTUA,01269,FRANCE,46.151066,5.605549,3631
00112A,NEUVILLE LES DAMES AP,Agence postale communale,00046A,ALLEE SOPHIE DE GROUCHY,,,01400,NEUVILLE LES DAMES,01272,FRANCE,46.161938,5.004207,3631
00113A,NEUVILLE SUR AIN RP,Relais poste,00030A,547 rue du docteur hubert,Intermarche,,01160,NEUVILLE SUR AIN,01273,FRANCE,46.079195,5.3763,3631
00114A,LE POIZAT LALLEYRAT RP,Relais poste,00116A,323 RUE TRAVERSEE,EPICERIE,,01130,LE POIZAT LALLEYRIAT,01204,FRANCE,46.1448,5.6966,3631
00115A,NEYRON RP,Relais poste,00103A,84 ROUTE DE GENEVE,,,01700,NEYRON,01275,FRANCE,45.8154,4.9325,3631
00116A,OYONNAX,Bureau de Poste,,69 COURS DE VERDUN,,,01100,OYONNAX,01283,FRANCE,46.260146,5.647735,3631
00117A,PARCIEUX AP,Agence postale communale,00174A,ROUTE DE GENAY,,,01600,PARCIEUX,01285,FRANCE,45.915498,4.824068,3631
00118A,PERON RP,Relais poste,00016A,ZA DU PRE MUNNY,INTERMARCHE CONTACT SAS FERNEIGE,,01630,PERON,01288,FRANCE,46.183411,5.928338,3631
00119A,PERONNAS BP,Bureau de Poste,,RUE DE LA POSTE,,,01960,PERONNAS,01289,FRANCE,46.178549,5.205705,3631
00120A,PEYRIEU RP,Relais poste,00017A,,MAGASIN VIVAL,,01300,PEYRIEU,01294,FRANCE,45.679273,5.676034,3631
00122A,PONCIN BP,Bureau de Poste,,1 AVENUE DU PARC,,,01450,PONCIN,01303,FRANCE,46.08558,5.40586,3631
00123A,PONT D AIN BP,Bureau de Poste,,8 RUE LOUISE DE SAVOIE,,,01160,PONT D AIN,01304,FRANCE,46.049696,5.341106,3631
00124A,PONT DE VAUX BP,Bureau de Poste,,77 RUE MAL DE LATTRE DE TASSIGNY,,,01190,PONT DE VAUX,01305,FRANCE,46.430064,4.938305,3631
00125A,PONT DE VEYLE BP,Bureau de Poste,,18 RUE DE LA POSTE,,,01290,PONT DE VEYLE,01306,FRANCE,46.263775,4.886734,3631
00126A,POUGNY RP,Relais poste,00016A,RUE DU CHATEAU VERT,,,01550,POUGNY,01308,FRANCE,46.139592,5.95019,3631
00127A,PREVESSIN CERN BP,Bureau de Poste,,ROUTE DE ST GENIS,,,01280,PREVESSIN MOENS,01313,FRANCE,46.254094434,6.0798975423,3631
00131A,RUFFIEU AP,Agence postale communale,00017A,40 RUE DE LA MAIRIE,40 rue de la mairie,,01260,RUFFIEU,01330,FRANCE,45.994229,5.66413,3631
00132A,SAINT ANDRE DE CORCY BP,Bureau de Poste,,LES MILLIERES,,,01390,ST ANDRE DE CORCY,01333,FRANCE,45.927691,4.956426,3631
00133A,SAINT BENOIT RP,Relais poste,00017A,69 ROUTE DE GROSLEE,,ST BENOIT,01300,GROSLEE ST BENOIT,01338,FRANCE,45.695081,5.587047,3631
00134A,SAINT BERNARD AP,Agence postale communale,00174A,390 RUE DE LA SAONE,,,01600,ST BERNARD,01339,FRANCE,45.945093,4.736187,3631
00136A,ST DENIS EN BUGEY BP,Bureau de Poste,,PLACE ALEXANDRE BERARD,,,01500,ST DENIS EN BUGEY,01345,FRANCE,45.951796,5.328498,3631
00137A,SAINT DIDIER D AUSSIAT RP,Relais poste,00046A,84 ROUTE DES BELOUZES,,,01340,ST DIDIER D AUSSIAT,01346,FRANCE,46.306273,5.060833,3631
00138A,SAINT DIDIER SUR CHALARONNE BP,Bureau de Poste,,23 ALLEE DU CENTRE,,,01140,ST DIDIER SUR CHALARONNE,01348,FRANCE,46.177294357,4.8161236356,3631
00139A,SAINT ETIENNE DU BOIS BP,Bureau de Poste,,190 RUE CENTRALE,,,01370,ST ETIENNE DU BOIS,01350,FRANCE,46.285991,5.29254,3631
00140A,SAINT ETIENNE SUR CHALARONNE AP,Agence postale communale,00046A,1 PLACE DES COMBATTANTS,MAIRIE,,01140,ST ETIENNE SUR CHALARONNE,01351,FRANCE,46.147885,4.865976,3631
00141A,SAINT GENIS POUILLY BP,Bureau de Poste,,119 AVENUE DE LA REPUBLIQUE,,,01630,ST GENIS POUILLY,01354,FRANCE,46.243296627375,6.0249401415625,3631
00142A,SAINT GERMAIN DE JOUX RP,Relais poste,00116A,RUE DU COMMERCE,EPICERIE TABAC,,01130,ST GERMAIN DE JOUX,01357,FRANCE,46.178209,5.738635,3631
00143A,SAINT JEAN DE GONVILLE RP,Relais poste,00073A,120 RUE DE LA LOUVATIERE,,,01630,ST JEAN DE GONVILLE,01360,FRANCE,46.213673,5.952659,3631
00144A,ST JEAN DE NIOST RP,Relais poste,00099A,1 PLACE DE VAVRES,LOTISSEMENT LES BOIS DE VAVRES,,01800,ST JEAN DE NIOST,01361,FRANCE,45.844736,5.21684,3631
00146A,ST JEAN SUR REYSSOUZE RP,Relais poste,00046A,LE BOURG,EPICERIE,,01560,ST JEAN SUR REYSSOUZE,01364,FRANCE,46.396667,5.062279,3631
00147A,SAINT JULIEN SUR REYSSOUZE AP,Agence postale communale,00046A,5 PLACE DE LA MAIRIE,,,01560,ST JULIEN SUR REYSSOUZE,01367,FRANCE,46.40179,5.112024,3631
00148A,ST LAURENT SUR SAONE RP,Relais poste,00046A,34 RUE TONY REVILLON,,,01750,ST LAURENT SUR SAONE,01370,FRANCE,46.303597,4.840359,3631
00149A,SAINT MARTIN DU FRESNE AP,Agence postale communale,00116A,1 PLACE DE LA MAIRIE,,,01430,ST MARTIN DU FRENE,01373,FRANCE,46.139736,5.552603,3631
00150A,SAINT MARTIN DU MONT RP,Relais poste,00030A,PLACE DE L EGLISE,LE TEMPS DES COURSES,,01160,ST MARTIN DU MONT,01374,FRANCE,46.102263,5.328373,3631
00151A,SAINT MAURICE DE BEYNOST BP,Bureau de Poste,,CITE DES FOLLIETS,92 BATIMENT ARC EN CIEL,,01700,ST MAURICE DE BEYNOST,01376,FRANCE,45.830298,4.979624,3631
00152A,SAINT MAURICE DE GOURDANS RP,Relais poste,00099A,4 PLACE DE L EGLISE,,,01800,ST MAURICE DE GOURDANS,01378,FRANCE,45.820955,5.194798,3631
00153A,ST MAURICE DE REMENS AP,Agence postale communale,00001A,548 RUE DE LA LIBERATION,,,01500,ST MAURICE DE REMENS,01379,FRANCE,45.959117576,5.2755023314,3631
00154A,SAINT NIZIER LE BOUCHOUX AP,Agence postale communale,00046A,119 GRANDE RUE,,,01560,ST NIZIER LE BOUCHOUX,01380,FRANCE,46.460278,5.151659,3631
00156A,SAINT RAMBERT EN BUGEY BP,Bureau de Poste,,RUE DE LA GRENETTE,,,01230,ST RAMBERT EN BUGEY,01384,FRANCE,45.948393,5.43992,3631
00158A,SAINT TRIVIER DE COURTES BP,Bureau de Poste,,22 ESPLANADE DE LA POSTE,,,01560,ST TRIVIER DE COURTES,01388,FRANCE,46.459,5.083892,3631
00159A,SAINT TRIVIER SUR MOIGNANS AP,Agence postale communale,00046A,PLACE DE L HOTEL DE VILLE,MAIRIE,,01990,ST TRIVIER SUR MOIGNANS,01389,FRANCE,46.07178,4.897376,3631
00160A,SAINT VULBAS RP,Relais poste,00001A,729 RUE CLAIRES FONTAINES,ALIMENTATION GENERALE,,01150,ST VULBAS,01390,FRANCE,45.83376154,5.2914435706,3631
00161A,SAULT BRENAZ AP,Agence postale communale,00001A,36 GRANDE RUE,,,01150,SAULT BRENAZ,01396,FRANCE,45.856077,5.407152,3631
00162A,SERMOYER AP,Agence postale communale,00046A,31 PLACE DU MARCHE,,,01190,SERMOYER,01402,FRANCE,46.496898,4.979492,3631
00163A,SERRIERES DE BRIORD BP,Bureau de Poste,,LE BOURG,,,01470,SERRIERES DE BRIORD,01403,FRANCE,45.808395,5.453261,3631
00165A,SIMANDRE SUR SURAN RP,Relais poste,00030A,79 CHEMIN DE LA FRUITIERE,GAMM VERT,,01250,SIMANDRE SUR SURAN,01408,FRANCE,46.225466,5.417014,3631
00166A,TENAY BP,Bureau de Poste,,LE BOURG,,,01230,TENAY,01416,FRANCE,45.918945,5.509259,3631
00167A,THEZILLIEU AP,Agence postale communale,00017A,16 ROUTE DE VIRIEU,,THEZILLIEU,01110,PLATEAU D HAUTEVILLE,01185,FRANCE,45.893448,5.596994,3631
00168A,THOIRY BP,Bureau de Poste,,342 RUE BRIAND STRESEMANN,,,01710,THOIRY,01419,FRANCE,46.236497,5.980417,3631
00169A,THOISSEY BP,Bureau de Poste,,23 RUE DE L EGLISE,CITE ADMINISTRATIVE,,01140,THOISSEY,01420,FRANCE,46.173464,4.800484,3631
00171A,TOSSIAT AP,Agence postale communale,00030A,100 RUE LOUIS FRANCOIS JAMBON,,,01250,TOSSIAT,01422,FRANCE,46.139496,5.316644,3631
00172A,TRAMOYES RP,Relais poste,00103A,105 ROUTE DE LA BOISSE,,,01390,TRAMOYES,01424,FRANCE,45.8749,4.9658,3631
00174A,TREVOUX,Bureau de Poste,,6 BOULEVARD DES COMBATTANTS,,,01600,TREVOUX,01427,FRANCE,45.939894,4.780766,3631
00175A,VAUX EN BUGEY RP,Relais poste,00001A,176 GRANDE RUE,LILIANE IBANEZ,,01150,VAUX EN BUGEY,01431,FRANCE,45.928785,5.354389,3631
00176A,VERJON AP,Agence postale communale,00030A,113 RUE DU GRAND BRULE,,,01270,VERJON,01432,FRANCE,46.346281,5.351941,3631
00177A,VERSAILLEUX RP,Relais poste,00174A,LE BOURG,,,01330,VERSAILLEUX,01434,FRANCE,45.980008,5.101274,3631
00178A,LE BALMAY VIEU D IZENAVE RP,Relais poste,00116A,20 PLACE DU BALMAY,,,01430,VIEU D IZENAVE,01441,FRANCE,46.094437,5.544282,3631
00180A,VILLEBOIS AP,Agence postale communale,00001A,25 RUE DE VOUGY,,,01150,VILLEBOIS,01444,FRANCE,45.847896,5.434588,3631
00182A,VILLEREVERSURE RP,Relais poste,00030A,1 PLACE DE LA GARE,O traditions gourmandes,,01250,VILLEREVERSURE,01447,FRANCE,46.194108,5.398662,3631
00183A,VILLIEU LOYES MOLLON RP,Relais poste,00099A,228 AVENUE CHARLES DE GAULLE,VIVAL,,01800,VILLIEU LOYES MOLLON,01450,FRANCE,45.920687985489,5.2235443820464,3631
00184A,VIRIAT AP,Agence postale communale,00025A,332 RUE PROSPER CONVERT,,,01440,VIRIAT,01451,FRANCE,46.254095,5.215534,3631
00185A,VIRIEU LE GRAND BP,Bureau de Poste,,PLACE HONORE D URFE,,,01510,VIRIEU LE GRAND,01452,FRANCE,45.848425,5.651505,3631
00186A,VIRIGNIN RP,Relais poste,00017A,Place de la liberte,,,01300,VIRIGNIN,01454,FRANCE,45.71714,5.711188,3631
00187A,VONNAS BP,Bureau de Poste,,56 RUE CLAUDE MOREL,,,01540,VONNAS,01457,FRANCE,46.219471,4.991536,3631
00188A,PREVESSIN MOENS BP,Bureau de Poste,,88 CHEMIN DE L EGLISE,LE COLOMBIER,,01280,PREVESSIN MOENS,01313,FRANCE,46.254191,6.079943,3631
00189A,MIRIBEL LES ECHETS RP,Relais poste,00103A,699 ROUTE DE STRASBOURG,,,01700,MIRIBEL,01249,FRANCE,45.824099,4.950613,3631
00190B,SAINT FIEL RP,Relais poste,03986A,4 PLACE DE L EGLISE,AUBERGE DE SAINT FIEL,,23000,ST FIEL,23195,FRANCE,46.213576,1.895004,3631
00196A,BOURG EN BRESSE MAGINOT BP,Bureau de Poste,,45 AVENUE MAGINOT,,,01000,BOURG EN BRESSE,01053,FRANCE,46.210095,5.227309,3631
00197A,OYONNAX ANATOLE FRANCE BP,Bureau de Poste,,4 PLACE DU 11 NOVEMBRE 1943,,,01100,OYONNAX,01283,FRANCE,46.258804,5.657085,3631
00203A,AMBLENY AP,Agence postale communale,00372A,11 RUE DE LA TOUR,,,02290,AMBLENY,02011,FRANCE,49.3803,3.1832,3631
00204A,AMIFONTAINE AP,Agence postale communale,00292A,8 RUE DES MEGRETS,,,02190,AMIFONTAINE,02013,FRANCE,49.483189,3.916641,3631
00205A,ANIZY LE GRAND,Bureau de Poste,,8 RUE JEAN JAURES,,ANIZY LE CHATEAU,02320,ANIZY LE GRAND,02018,FRANCE,49.5054,3.451645,3631
00206A,ANY MARTIN RIEUX RP,Relais poste,00286A,17 LIEU DIT BELLEVUE,LE BELLEVUE,,02500,ANY MARTIN RIEUX,02020,FRANCE,49.86938,4.18821,3631
00207A,ATHIES SOUS LAON BP,Bureau de Poste,,3 RUE DES ECOLES,,,02840,ATHIES SOUS LAON,02028,FRANCE,49.575695,3.679897,3631
00209A,AULNOIS SOUS LAON BP,Bureau de Poste,,9004 RUE DE CHAMBRY,,,02000,AULNOIS SOUS LAON,02037,FRANCE,49.612066,3.607631,3631
00211A,BARISIS AP,Agence postale communale,00239A,PLACE DE LA MAIRIE,,,02700,BARISIS,02049,FRANCE,49.578645,3.328062,3631
